,IPnum,IPval,slope,full_AIC,PDS_df,PDS_AIC,PDS_LRT,PDS_p,PDS_pFDR,re_df,re_AIC,re_LRT,re_p,re_pFDR
L_DAN,1,2.34,-0.698151150039357,-139.48012718941,0.43035834296229,-137.751038100761,0.86837240272402,0.148655353256547,0.241564949041888,21.7733399861182,-129.662025130205,53.364782031442,0.000180509982387329,0.000260736641226142
L_DMN,1,2.34,-1.20371289863764,-191.127956226919,3.97765592476215,-173.19142401732,25.8918440591233,3.24594319567489e-05,0.000276679955259869,23.7218999887016,-179.893389566681,58.6783666376415,8.53092344371188e-05,0.000221804009536509
L_FPN,1,2.29,-0.805330717941939,-187.875251874342,3.52956823609249,-181.851310723607,13.0830776229201,0.00732002759926827,0.0190320717580975,34.6254882494859,-164.489084035905,92.6371443374088,3.43466326310422e-07,1.11626556050887e-06
L_MEM,2,2.35,-0.940307225740491,-144.499927497897,5.42240932020102,-137.076485931781,-3.42137707428589,1,1,0.999999123237332,-142.469637357928,0.0302918934949616,0.861829317990033,0.933648427822536
L_SAL,1,2.34,-0.666657236983986,-162.955034963647,0.0684814423508051,-160.38753080921,2.70446703913842,0.00446328189896196,0.0145056661716264,22.6950808216356,-152.537986858169,55.8072097487488,0.000129511192620543,0.000252973497322254
L_SMH,1,2.35,-0.577176159575428,-146.622383289327,3.59870312033755,-145.755811431248,8.06397809875469,0.0691177564322973,0.128361547659981,44.0171603025202,-107.945422276697,126.711281617671,6.14310743978557e-10,3.99301983586062e-09
L_SMM,2,3.57,0.15957765487127,-38.3332112494594,4.95151983791966,-38.8452695488365,-10.4150979752164,1,1,6.4097208618982,-35.5679769734554,15.5846759998004,0.0208120643659713,0.0245960760688752
L_SUB,1,2.36,-0.723582145011895,-110.928803561896,1.39119055590008,-107.778973504114,0.367448945982716,0.685164876097169,0.959440998124208,8.14060433499563,-107.878346044981,19.3316661869065,0.0142689643671199,0.0185496536772559
L_VAN,1,2.19,-0.81576540018416,-170.348021620955,6.38366306722576,-152.492494984468,30.6228527709381,4.25661469630567e-05,0.000276679955259869,46.078119170533,-128.755915384425,133.748344577596,1.77616003988969e-10,2.30900805185660e-09
L_VIS,1,2.12,-0.817480340133805,-131.146517329482,10.6085912294419,-116.672000327148,35.6916994612183,0.00014598423507383,0.000632598351986597,22.9805817473429,-121.018318526124,56.0893622980444,0.000136216498558137,0.000252973497322254
